,Name,Award,Importance
0,hschindele,#1 Overall Rating,1
0,hschindele,#1 Time Trial Rating,2
0,Avel,#1 High Score Rating,2
0,Mountain_Greg,Top 5 Overall Rating,3
0,Mountain_Greg,Top 5 Time Trial Rating,4
0,Jamiemac,Top 5 High Score Rating,4
0,Jamiemac,Top 5 Overall Rating,3
0,Jamiemac,Top 5 Time Trial Rating,4
0,Mountain_Greg,Top 5 High Score Rating,4
0,Avel,Top 5 Overall Rating,3
0,Avel,Top 5 Time Trial Rating,4
0,massiv97,Top 5 High Score Rating,4
0,massiv97,Top 5 Overall Rating,3
0,Skier50,Top 5 Time Trial Rating,4
0,hschindele,Top 5 High Score Rating,4
0,Skier50,Top 10 Overall Rating,7
0,massiv97,Top 10 Time Trial Rating,8
0,PelagusPlays,Top 10 High Score Rating,8
0,Ryan Monty,Top 10 Overall Rating,7
0,Ryan Monty,Top 10 Time Trial Rating,8
0,🍊Koolaid,Top 10 High Score Rating,8
0,SYNO,Top 10 Overall Rating,7
0,SYNO,Top 10 Time Trial Rating,8
0,BouncyJello,Top 10 High Score Rating,8
0,BouncyJello,Top 10 Overall Rating,7
0,BouncyJello,Top 10 Time Trial Rating,8
0,Skier50,Top 10 High Score Rating,8
0,Gjeep302,Top 10 Overall Rating,7
0,Gjeep302,Top 10 Time Trial Rating,8
0,Foxster,Top 10 High Score Rating,8
0,hschindele,Race Champion,6
0,hschindele,Trail Champion,6
0,hschindele,TTB Champion,6
0,Jamiemac,Open Trick Champion,6
0,OKAR_Spec,Long Jump Champion,6
0,BouncyJello,Distance Champion,6
0,Avel,Gated Trick Champion,6
0,Avel,Triple Drop Champion,6
0,BouncyJello,Slap Champion,6
0,Avel,Single Drop Champion,6
0,Jamiemac,Single Trick Champion,6
0,Avel,Airtime Champion,6
0,hschindele,Hirschalm Overall Champion,9
0,hschindele,Hirschalm Time Trial Champion,10
0,Avel,Hirschalm High Score Champion,10
0,hschindele,Waldtal Overall Champion,9
0,hschindele,Waldtal Time Trial Champion,10
0,Avel,Waldtal High Score Champion,10
0,hschindele,Elnakka Overall Champion,9
0,hschindele,Elnakka Time Trial Champion,10
0,Avel,Elnakka High Score Champion,10
0,hschindele,Dalarna Overall Champion,9
0,hschindele,Dalarna Time Trial Champion,10
0,Avel,Dalarna High Score Champion,10
0,hschindele,Rotkamm Overall Champion,9
0,hschindele,Rotkamm Time Trial Champion,10
0,Avel,Rotkamm High Score Champion,10
0,hschindele,Saint Luvette Overall Champion,9
0,hschindele,Saint Luvette Time Trial Champion,10
0,Avel,Saint Luvette High Score Champion,10
0,hschindele,Passo Grolla Overall Champion,9
0,hschindele,Passo Grolla Time Trial Champion,10
0,Avel,Passo Grolla High Score Champion,10
0,hschindele,Ben Ailig Overall Champion,9
0,hschindele,Ben Ailig Time Trial Champion,10
0,Jamiemac,Ben Ailig High Score Champion,10
0,Jamiemac,Mount Fairview Overall Champion,9
0,hschindele,Mount Fairview Time Trial Champion,10
0,Jamiemac,Mount Fairview High Score Champion,10
0,Jamiemac,Pinecone Peaks Overall Champion,9
0,hschindele,Pinecone Peaks Time Trial Champion,10
0,Avel,Pinecone Peaks High Score Champion,10
0,hschindele,World Record Holder,11
0,Avel,World Record Holder,11
0,Mountain_Greg,World Record Holder,11
0,Gjeep302,World Record Holder,11
0,BouncyJello,World Record Holder,11
0,Skier50,World Record Holder,11
0,OKAR_Spec,World Record Holder,11
0,massiv97,World Record Holder,11
0,Olm842,World Record Holder,11
0,Jamiemac,World Record Holder,11
0,Ryan Monty,World Record Holder,11
0,James :),World Record Holder,11
0,PelagusPlays,World Record Holder,11
0,Avel,Speedy Boi,3
0,Mountain_Greg,Speedy Boi,3
0,Skier50,Speedy Boi,3
0,hschindele,Speedy Boi,3
0,massiv97,Speedy Boi,3
