Timestamp,Link,Name,OS,Mountain,Was WR,Unnamed: 64,challenge name,type,score,chaltype
2021-01-31 14:48:03,https://drive.google.com/open?id=19-gdk9n1kaIJlad-g2BkqRGX_sUjaH42,waxton,Android,Pinecone Peaks,TRUE,Race,Hazy Maze,Time Trial,16.61,Race
2021-02-22 16:52:53,https://drive.google.com/open?id=1DX79Lt33eng9mW3RwjAYi7kC7JfOtjXB,Fenrir,Android,Pinecone Peaks,TRUE,Trail,Ridge Run,Time Trial,20.59,Trail
2021-02-22 17:13:58,https://drive.google.com/open?id=1sNs944oWyl0K1Z0X5u2-bvhxHZJ-wy4N,Fenrir,Android,Pinecone Peaks,TRUE,Trail,Tic Tac Toe,Time Trial,13.41,Trail
2021-04-03 16:38:34,https://drive.google.com/open?id=1QCci-ibFsFE_qHXJMJn_L6wgBdJ8Zs0K,hschindele,iOS,Pinecone Peaks,TRUE,Race,City Woods,Time Trial,15.64,Race
2021-04-03 16:39:07,https://drive.google.com/open?id=15_zqvM6ZOXnosGsDaoT2a8w-IJ1g-Pnn,hschindele,iOS,Pinecone Peaks,TRUE,Race,Pinecone Passage,Time Trial,28.9,Race
2021-04-03 16:39:35,https://drive.google.com/open?id=1CBsO1DJ9Omt5MkmQRoOa1DqiQ2UBzRhm,hschindele,iOS,Pinecone Peaks,TRUE,Race,Velocity,Time Trial,22.71,Race
2021-04-03 16:40:13,https://drive.google.com/open?id=1H-0yqkl1Jyw3bqQETYy77EC3X6zn0r3d,hschindele,iOS,Pinecone Peaks,TRUE,Race,Treasure The Shortcuts,Time Trial,22.54,Race
2021-04-03 16:40:47,https://drive.google.com/open?id=14RduvN5qi-ejSmWL3aGf2mjlf4Tc3cyV,hschindele,iOS,Pinecone Peaks,TRUE,Race,Weary Mood,Time Trial,20.97,Race
2021-04-03 16:41:18,https://drive.google.com/open?id=1mrT3QGStE-Euk1UrA4PPr6G-SXiBVeva,hschindele,iOS,Pinecone Peaks,TRUE,Race,Rough Patches,Time Trial,19.89,Race
2021-04-03 16:41:52,https://drive.google.com/open?id=1BeQKP68ueKkJ3G3Le_QoyJ-t1-QTZmhP,hschindele,iOS,Pinecone Peaks,TRUE,Race,The Labyrinth,Time Trial,19.44,Race
2021-04-03 16:42:25,https://drive.google.com/open?id=1CwVq-QnnMLTsSoO22LuP-hZIiyKVqMBj,hschindele,iOS,Pinecone Peaks,TRUE,Race,Hazy Maze,Time Trial,16.46,Race
2021-04-03 16:43:01,https://drive.google.com/open?id=1ARGfgJqnB2VUCDKO-GY_Me8DgsT6A3yE,hschindele,iOS,Pinecone Peaks,TRUE,Race,Googly Eyes,Time Trial,17.92,Race
2021-04-03 16:43:32,https://drive.google.com/open?id=1cqHk9Ra0PYJfCzii-Xpd3JxMRVbA8oUI,hschindele,iOS,Pinecone Peaks,TRUE,Race,The Execution,Time Trial,22.08,Race
2021-04-03 16:44:12,https://drive.google.com/open?id=1moTFHA7fJaB-N_guqBOf_GyxyGCIpfIx,hschindele,iOS,Pinecone Peaks,TRUE,Race,Offpist Mayhem,Time Trial,37.97,Race
2021-04-03 16:44:43,https://drive.google.com/open?id=1PyeqBkujS_E4jf-QCiq63A7LmVUHkr1r,hschindele,iOS,Pinecone Peaks,TRUE,Trail,Coffee Kick,Time Trial,18.76,Trail
2021-04-03 16:45:15,https://drive.google.com/open?id=16FWu8EBJEkXZW_j4vMpvfELU4pYJO06h,hschindele,iOS,Pinecone Peaks,TRUE,Trail,Side Piste,Time Trial,11.59,Trail
2021-04-03 16:45:51,https://drive.google.com/open?id=1PpyJ0nlWufqawmTFHf4vtqNxlj5Nneku,hschindele,iOS,Pinecone Peaks,TRUE,Trail,Ridge Run,Time Trial,17.98,Trail
2021-04-03 16:46:29,https://drive.google.com/open?id=1OLn8RiUBaQjvfBO0F5vqG-loPyJl4vEU,hschindele,iOS,Pinecone Peaks,TRUE,Trail,Level 1,Time Trial,6.69,Trail
2021-04-03 16:47:01,https://drive.google.com/open?id=1eggFvyO4utvUPi6g6rO5iscsBvbXwqPy,hschindele,iOS,Pinecone Peaks,TRUE,Trail,Level 2,Time Trial,8.28,Trail
2021-04-03 16:47:34,https://drive.google.com/open?id=1Muv6ynA5ttCVS6kIXqQJFZWUyMVnlsbP,hschindele,iOS,Pinecone Peaks,TRUE,Trail,Level 3,Time Trial,8.6,Trail
2021-04-03 16:48:05,https://drive.google.com/open?id=1Tfkuc_fc0hsE7NUhbTnKwIhsW7LwTm1h,hschindele,iOS,Pinecone Peaks,TRUE,Trail,Popsicle Slide,Time Trial,8.63,Trail
2021-04-03 16:48:45,https://drive.google.com/open?id=1zKAdgsp5tX1mtZUjcUzKPzBuuC4PIyyg,hschindele,iOS,Pinecone Peaks,TRUE,Trail,Popsicle Challenge,Time Trial,9.89,Trail
2021-04-03 16:49:14,https://drive.google.com/open?id=1ZoZcPWDqc3qTBjJefJ5wk6e7GYazqUsH,hschindele,iOS,Pinecone Peaks,TRUE,Trail,The Little Skipper,Time Trial,11.36,Trail
2021-04-03 16:49:44,https://drive.google.com/open?id=10y8sQDc8IJs2CaQIeqHdkKY4YSpK84W-,hschindele,iOS,Pinecone Peaks,TRUE,Trail,Tic Tac Toe,Time Trial,9.73,Trail
